z,x1,x2
0.0,0.0,0.0
0.025,0.009813221143549742,0.006607301703064745
0.05,0.01963607646323627,0.013219275414898111
0.07500000000000001,0.029468569943726746,0.019835921803078922
0.1,0.039310705577667186,0.026457241536220834
0.125,0.04916248736569599,0.03308323528397306
0.15000000000000002,0.05902391931645744,0.03971390371702101
0.17500000000000002,0.0688950054466153,0.046349247507086994
0.2,0.07877574978086636,0.05298926732693089
0.225,0.0886661563519542,0.05963396385035087
0.25,0.09856622920068278,0.06628333775218401
0.275,0.1084759723759302,0.07293738970830707
0.30000000000000004,0.1183953899346624,0.0795961203956371
0.325,0.12832448594194712,0.08625953049213217
0.35000000000000003,0.13826326447096762,0.09292762067679207
0.375,0.14821172960303652,0.099600391629659
0.4,0.1581698854276099,0.10627784403181822
0.42500000000000004,0.1681377360423011,0.11295997856539883
0.45,0.17811528555289474,0.11964679591357433
0.47500000000000003,0.1881025380733609,0.12633829676056346
0.5,0.19809949772586896,0.13303448179163085
0.525,0.20810616864080206,0.13973535169308768
0.55,0.21812255495677096,0.1464409071522924
0.5750000000000001,0.22814866082062835,0.15315114885765155
0.6000000000000001,0.23818449038748302,0.1598660774986202
0.625,0.2482300478207144,0.16658569376570287
0.65,0.25828533729198666,0.17330999835045427
0.675,0.26835036298126297,0.1800389919454798
0.7000000000000001,0.2784251290768204,0.18677267524443647
0.7250000000000001,0.28850963977526367,0.19351104894203344
0.75,0.29860389928154024,0.2002541137340329
0.775,0.3087079118089545,0.20700187031725056
0.8,0.31882168157918256,0.21375431938955664
0.8250000000000001,0.32894521282228667,0.2205114616498764
0.8500000000000001,0.3390785097767301,0.22727329779819078
0.875,0.34922157668939147,0.2340398285355374
0.9,0.35937441781557994,0.24081105456401114
0.925,0.36953703741904975,0.24758697658676462
0.9500000000000001,0.37970943977201527,0.25436759530800934
0.9750000000000001,0.3898916291551652,0.2611529114330162
1.0,0.4000836098576783,0.26794292566811606
1.0250000000000001,0.4102853861772382,0.2747376387207009
1.05,0.42049696242004775,0.281537051299224
1.075,0.4307183429008449,0.28834116411320115
1.1,0.4409495319429173,0.2951499778732112
1.125,0.4511905338781174,0.30196349329089656
1.1500000000000001,0.46144135304687817,0.3087817110789644
1.175,0.4717019937982272,0.3156046319511869
1.2000000000000002,0.4819724604898035,0.3224322566224025
1.225,0.4922527574878714,0.32926458580851603
1.25,0.5025428891673365,0.33610162022650003
1.2750000000000001,0.5128428599117615,0.3429433605943951
1.3,0.5231526741133805,0.3497898076313109
1.3250000000000002,0.5334723361731158,0.3566409620574266
1.35,0.5438018505005923,0.3634968245939919
1.375,0.5541412215141537,0.3703573959633276
1.4000000000000001,0.564490453640878,0.3772226768888265
1.425,0.5748495513165931,0.38409266809495396
1.4500000000000002,0.5852185189858927,0.3909673703072488
1.475,0.5955973611021514,0.39784678425232406
1.5,0.6059860821275413,0.4047309106578675
1.5250000000000001,0.6163846865330477,0.41161975025264275
1.55,0.6267931787984844,0.4185133037664897
1.5750000000000002,0.6372115634125106,0.42541157193032564
1.6,0.6476398448726454,0.4323145554761454
1.625,0.6580780276852857,0.4392222551370229
1.6500000000000001,0.6685261163657208,0.4461346716471113
1.675,0.6789841154381491,0.4530518057416441
