z,x1,x2
0.0,0.0,0.0
0.025,0.03306390294252054,0.03806940120049869
0.05,0.06613352336300685,0.07615473110414367
0.07500000000000001,0.09920886566101306,0.11425601761760852
0.1,0.132289934241763,0.1523732887291427
0.125,0.16537673351613252,0.19050657250893388
0.15000000000000002,0.19846926790063232,0.22865589710938505
0.17500000000000002,0.23156754181751255,0.2668212907655193
0.2,0.2646715596946405,0.3050027817952855
0.225,0.2977813259656058,0.3432003985998778
0.25,0.33089684506973754,0.38141416966414066
0.275,0.364018121452052,0.41964412355685304
0.30000000000000004,0.39714515956327,0.4578902889311048
0.325,0.4302779638599047,0.4961526945246519
0.35000000000000003,0.46341653880415623,0.5344313691602363
0.375,0.4965608888640344,0.5727263417459694
0.4,0.5297110185132887,0.611037641275673
0.42500000000000004,0.5628669322314432,0.6493652968292345
0.45,0.5960286345038667,0.6877093375729625
0.47500000000000003,0.6291961298216324,0.7260697927599767
0.5,0.662369422681711,0.7644466917305143
0.525,0.6955485175868473,0.8028400639123414
0.55,0.7287334190456489,0.8412499388210871
0.5750000000000001,0.761924131572515,0.8796763460606484
0.6000000000000001,0.7951206596877421,0.9181193153235171
0.625,0.828323007917489,0.9565788763911915
0.65,0.8615311807937762,0.9950550591345185
0.675,0.8947451828544869,1.0335478935140823
0.7000000000000001,0.9279650186434358,1.0720574095805895
0.7250000000000001,0.961190692710353,1.1105836374752247
0.75,0.9944222096108473,1.1491266074300825
0.775,1.0276595739064602,1.1876863497684733
0.8,1.0609027901647006,1.2262628949053935
0.8250000000000001,1.0941518629589913,1.2648562733478506
0.8500000000000001,1.12740679686874,1.303466515695297
0.875,1.1606675964793043,1.3420936526399923
0.9,1.1939342663820787,1.380737714967403
0.925,1.2272068111743724,1.419398733556618
0.9500000000000001,1.2604852354595488,1.4580767393807286
0.9750000000000001,1.2937695438469743,1.4967717635072306
1.0,1.327059740952034,1.535483837098439
1.0250000000000001,1.3603558313961681,1.5742129914118972
1.05,1.393657819806819,1.6129592578007563
1.075,1.4269657108175708,1.651722667714214
