z,x1,y1,x2,y2,x3,y3
0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
0.03653014713476504,0.0041971468662796866,0.001190532708825947,0.004976250724543888,0.0014193873791310489,0.005424848528255231,0.0015602076107522425
0.07306029426953008,0.008378729480199716,0.0024346294859568227,0.009929592773432817,0.0029167632011171843,0.010817257236107344,0.0032290867767324964
0.10959044140429511,0.012544064286394313,0.003732086961256004,0.014858803983634735,0.004491758010879981,0.016175049434399576,0.005005963841439287
0.14612058853906015,0.016692470385495897,0.00508269304181486,0.019762668146040833,0.006143983202017344,0.021496062407207753,0.006890121554150529
0.1826507356738252,0.020823269645440522,0.006486226946623276,0.024639975305547193,0.007873031112686115,0.02677814828483795,0.008880799359447451
0.21918088280859022,0.02493578681232078,0.007942459242660216,0.029489522059592873,0.00967847512618667,0.032019174910831366,0.010977193704218999
0.25571102994335526,0.02902934962076828,0.009451151882398777,0.03431011185508165,0.011559869776224033,0.037217026702626506,0.013178458362022425
0.2922411770781203,0.03310328890384759,0.01101205824271935,0.03910055528361356,0.013516750856820319,0.04236960550553092,0.01548370477466951
0.32877132421288535,0.03715693870244369,0.012624923165224544,0.04385967037495349,0.015548635536850227,0.04747483143965846,0.017892002410900075
0.3653014713476504,0.04118963637412502,0.0142894829979496,0.04858628288866486,0.017655022479172812,0.05253064373948934,0.020402379141998602
0.40183161848241544,0.045200722701464476,0.016005465638460937,0.053279226603835744,0.019835391964328524,0.05753500158571484,0.02301382163420162
0.43836176561718043,0.04918954199980028,0.017772590578336342,0.057937343606826404,0.022089206018772463,0.062485884929030344,0.025725275757738118
0.4748919127519455,0.05315544222441965,0.019590568949019,0.06255948457696728,0.02441590854761132,0.06738129530554457,0.02853564701233756
0.5114220598867105,0.05709777507714715,0.02145910356903845,0.06714450907013657,0.026814925471811232,0.07221925664347559,0.031443800969033674
0.5479522070214756,0.06101589611232097,0.023377888992590135,0.07169128580014779,0.029285664869843436,0.07699781606080794,0.03444856372808573
0.5844823541562406,0.06490916484213902,0.025346611559466135,0.07619869291787768,0.03182751712373192,0.08171504465358953,0.03754872239283283
0.6210125012910056,0.06877694484135838,0.0273649494463286,0.08066561828806569,0.034439855069467604,0.0863690382745487,0.04074302555928919
0.6575426484257707,0.07261860385133054,0.02943257271931754,0.08509095976371679,0.03712203415175158,0.0909579183017192,0.04403018382128361
0.6940727955605357,0.07643351388335544,0.03154914338798457,0.08947362545803969,0.039873392583029715,0.09547983239676051,0.047408870290938425
0.7306029426953008,0.08022105132133761,0.03371431546054352,0.09381253401385356,0.042693251506778454,0.09993295525266953,0.05087772113427874
0.7671330898300658,0.0839805970237276,0.03592773500042902,0.09810661487039667,0.045580915165002844,0.10431548933058014,0.05443533612175483
0.8036632369648309,0.08771153642473167,0.03818904018415388,0.10235480852747143,0.048535671069904265,0.10862566558535437,0.058080279193456014
0.8401933840995959,0.09141325963477401,0.040497861360455696,0.10655606680686001,0.051556790179676106,0.11286174417967172,0.06181107903878791
0.8767235312343609,0.09508516154019386,0.04285382111072305,0.11070935311094679,0.05464352707838404,0.11702201518632838,0.06562622969037873
0.913253678369126,0.09872664190216257,0.04525653431069137,0.11481364267848317,0.057795120159886186,0.12110479927846332,0.06952419113197515
0.949783825503891,0.1023371054548034,0.0477056081933985,0.11886792283743215,0.0610107918157479,0.12510844840743168,0.07350338992008223
0.9863139726386561,0.10591596200249846,0.05020064241338953,0.12287119325483005,0.06428974862710529,0.12903134646805337,0.0775622198190966
1.022844119773421,0.10946262651636693,0.05274122911216048,0.1268224661836035,0.0676311815604292,0.13287190995096657,0.08169904244967625
1.059374266908186,0.1129765192298986,0.05532695298483031,0.1307207667062816,0.07103426616714231,0.13662858858182403,0.08591218795008572
1.0959044140429512,0.11645706573372731,0.05795739134802988,0.13456513297554187,0.07449816278703932,0.14029986594707416,0.09019995565024914
