z,x1,x2,x3
0.0,0.0,0.0,0.0
0.025,8.770751953125001e-06,1.7541503906250003e-05,2.6312255859375006e-05
0.05,3.500976562500001e-05,7.001953125000001e-05,0.00010502929687500002
0.07500000000000001,7.860717773437502e-05,0.00015721435546875003,0.00023582153320312506
0.1,0.000139453125,0.00027890625,0.0004183593750000001
0.125,0.000217437744140625,0.00043487548828125,0.000652313232421875
0.15000000000000002,0.00031245117187500007,0.0006249023437500001,0.0009373535156250002
0.17500000000000002,0.00042438354492187506,0.0008487670898437501,0.0012731506347656253
0.2,0.0005531250000000001,0.0011062500000000002,0.0016593750000000003
0.225,0.0006985656738281251,0.0013971313476562502,0.002095697021484375
0.25,0.000860595703125,0.00172119140625,0.0025817871093750003
0.275,0.0010391052246093752,0.0020782104492187503,0.0031173156738281255
0.30000000000000004,0.0012339843750000005,0.002467968750000001,0.0037019531250000012
0.325,0.001445123291015625,0.00289024658203125,0.004335369873046876
0.35000000000000003,0.0016724121093750002,0.0033448242187500005,0.005017236328125001
0.375,0.001915740966796875,0.00383148193359375,0.0057472229003906255
0.4,0.0021750000000000003,0.004350000000000001,0.006525000000000001
0.42500000000000004,0.0024500793457031254,0.004900158691406251,0.007350238037109376
0.45,0.0027408691406250003,0.005481738281250001,0.008222607421875002
0.47500000000000003,0.0030472595214843753,0.006094519042968751,0.009141778564453126
0.5,0.0033691406249999997,0.0067382812499999995,0.010107421875
0.525,0.003706402587890625,0.00741280517578125,0.011119207763671876
0.55,0.004058935546875001,0.008117871093750001,0.012176806640625003
0.5750000000000001,0.0044266296386718754,0.008853259277343751,0.013279888916015628
0.6000000000000001,0.004809375000000001,0.009618750000000002,0.014428125000000003
0.625,0.005207061767578125,0.01041412353515625,0.015621185302734375
0.65,0.005619580078124999,0.011239160156249999,0.016858740234375
0.675,0.006046820068359376,0.012093640136718752,0.01814046020507813
0.7000000000000001,0.006488671875000001,0.012977343750000002,0.019466015625000003
0.7250000000000001,0.006945025634765626,0.013890051269531252,0.020835076904296878
0.75,0.007415771484375,0.01483154296875,0.022247314453125
0.775,0.007900799560546876,0.015801599121093753,0.02370239868164063
0.8,0.008400000000000001,0.016800000000000002,0.025200000000000004
0.8250000000000001,0.008913262939453126,0.017826525878906253,0.026739788818359384
0.8500000000000001,0.009440478515625001,0.018880957031250003,0.02832143554687501
0.875,0.009981536865234375,0.01996307373046875,0.029944610595703126
0.9,0.010536328125,0.02107265625,0.031608984375
0.925,0.011104742431640627,0.022209484863281254,0.03331422729492188
0.9500000000000001,0.011686669921875,0.02337333984375,0.035060009765625004
0.9750000000000001,0.012282000732421878,0.024564001464843756,0.03684600219726564
1.0,0.012890625,0.02578125,0.038671875
1.0250000000000001,0.01351243286132813,0.02702486572265626,0.040537298583984395
1.05,0.014147314453125,0.02829462890625,0.042441943359375005
1.075,0.014795159912109375,0.02959031982421875,0.04438547973632813
1.1,0.015455859375000004,0.030911718750000008,0.04636757812500002
1.125,0.016129302978515624,0.03225860595703125,0.048387908935546876
1.1500000000000001,0.016815380859375003,0.033630761718750006,0.05044614257812501
1.175,0.017513983154296878,0.035027966308593755,0.05254194946289063
1.2000000000000002,0.018225,0.03645,0.054675000000000015
1.225,0.018948321533203128,0.037896643066406256,0.05684496459960938
1.25,0.019683837890625,0.03936767578125,0.059051513671875
1.2750000000000001,0.020431439208984378,0.040862878417968755,0.061294317626953136
1.3,0.021191015625,0.04238203125,0.06357304687500001
1.3250000000000002,0.021962457275390628,0.043924914550781256,0.0658873718261719
1.35,0.022745654296875004,0.04549130859375001,0.06823696289062502
1.375,0.023540496826171875,0.04708099365234375,0.07062149047851562
1.4000000000000001,0.024346875000000004,0.04869375000000001,0.07304062500000001
1.425,0.025164678955078124,0.05032935791015625,0.07549403686523437
1.4500000000000002,0.025993798828125,0.05198759765625,0.077981396484375
1.475,0.026834124755859372,0.053668249511718745,0.08050237426757813
1.5,0.027685546874999998,0.055371093749999996,0.083056640625
1.5250000000000001,0.02854795532226563,0.05709591064453126,0.08564386596679689
1.55,0.029421240234375007,0.058842480468750014,0.08826372070312502
1.5750000000000002,0.030305291748046883,0.060610583496093766,0.09091587524414066
1.6,0.031200000000000006,0.06240000000000001,0.09360000000000002
1.625,0.03210525512695312,0.06421051025390624,0.09631576538085938
1.6500000000000001,0.03302094726562501,0.06604189453125002,0.09906284179687502
1.675,0.03394696655273438,0.06789393310546876,0.10184089965820314
1.7000000000000002,0.034883203125000005,0.06976640625000001,0.10464960937500002
1.725,0.035829547119140624,0.07165909423828125,0.1074886413574219
1.75,0.036785888671874996,0.07357177734374999,0.11035766601562501
1.7750000000000001,0.037752117919921876,0.07550423583984375,0.11325635375976564
1.8,0.038728125,0.07745625,0.116184375
1.8250000000000002,0.03971380004882813,0.07942760009765626,0.11914140014648439
1.85,0.040709033203125,0.08141806640625,0.12212709960937503
1.875,0.041713714599609375,0.08342742919921875,0.12514114379882812
1.9000000000000001,0.04272773437500001,0.08545546875000001,0.12818320312500003
1.925,0.043750982666015625,0.08750196533203125,0.13125294799804688
1.9500000000000002,0.04478334960937501,0.08956669921875002,0.13435004882812504
1.975,0.04582472534179687,0.09164945068359374,0.13747417602539064
2.0,0.046875,0.09375,0.140625
2.025,0.04793406372070312,0.09586812744140624,0.14380219116210938
2.0500000000000003,0.04900180664062501,0.09800361328125003,0.14700541992187505
2.075,0.050078118896484385,0.10015623779296877,0.15023435668945315
2.1,0.051162890625,0.10232578125,0.153488671875
2.125,0.052256011962890626,0.10451202392578125,0.15676803588867189
2.15,0.053357373046875,0.10671474609375,0.160072119140625
2.1750000000000003,0.05446686401367189,0.10893372802734377,0.16340059204101567
2.2,0.05558437500000001,0.11116875000000002,0.16675312500000003
2.225,0.05670979614257813,0.11341959228515626,0.1701293884277344
2.25,0.057843017578124996,0.11568603515624999,0.173529052734375
2.275,0.05898392944335936,0.11796785888671872,0.1769517883300781
2.3000000000000003,0.06013242187500001,0.12026484375000002,0.18039726562500003
2.325,0.061288385009765634,0.12257677001953127,0.1838651550292969
2.35,0.062451708984375014,0.12490341796875003,0.18735512695312506
2.375,0.06362228393554688,0.12724456787109376,0.19086685180664062
2.4000000000000004,0.06480000000000001,0.12960000000000002,0.19440000000000004
2.4250000000000003,0.06598474731445313,0.13196949462890625,0.1979542419433594
2.45,0.06717641601562502,0.13435283203125004,0.20152924804687505
2.475,0.06837489624023438,0.13674979248046876,0.20512468872070316
2.5,0.069580078125,0.13916015625,0.208740234375
2.5250000000000004,0.07079185180664065,0.1415837036132813,0.21237555541992192
2.5500000000000003,0.07201010742187501,0.14402021484375002,0.21603032226562502
2.575,0.07323473510742187,0.14646947021484374,0.21970420532226564
2.6,0.07446562500000001,0.14893125000000002,0.22339687500000002
2.625,0.07570266723632812,0.15140533447265625,0.22710800170898438
2.6500000000000004,0.07694575195312502,0.15389150390625003,0.23083725585937506
2.6750000000000003,0.07819476928710939,0.15638953857421878,0.23458430786132817
2.7,0.07944960937500001,0.15889921875000002,0.23834882812500005
2.725,0.08071016235351562,0.16142032470703124,0.24213048706054685
2.75,0.081976318359375,0.16395263671875,0.245928955078125
2.7750000000000004,0.0832479675292969,0.1664959350585938,0.2497439025878907
2.8000000000000003,0.08452500000000002,0.16905000000000003,0.25357500000000005
2.825,0.08580730590820314,0.17161461181640628,0.25742191772460943
2.85,0.087094775390625,0.17418955078125,0.261284326171875
2.875,0.08838729858398438,0.17677459716796876,0.26516189575195315
2.9000000000000004,0.08968476562500001,0.17936953125000002,0.26905429687500004
2.9250000000000003,0.09098706665039064,0.18197413330078127,0.2729611999511719
2.95,0.092294091796875,0.18458818359375,0.27688227539062504
2.975,0.0936057312011719,0.1872114624023438,0.2808171936035157
3.0,0.094921875,0.18984375,0.284765625
3.0250000000000004,0.09624241333007813,0.19248482666015626,0.2887272399902344
3.0500000000000003,0.09756723632812503,0.19513447265625006,0.2927017089843751
3.075,0.09889623413085939,0.19779246826171878,0.29668870239257816
3.1,0.10022929687500003,0.20045859375000005,0.3006878906250001
3.125,0.10156631469726562,0.20313262939453125,0.3046989440917969
3.1500000000000004,0.10290717773437502,0.20581435546875004,0.30872153320312506
3.1750000000000003,0.10425177612304688,0.20850355224609377,0.31275532836914066
3.2,0.10560000000000003,0.21120000000000005,0.3168000000000001
3.225,0.10695173950195312,0.21390347900390624,0.3208552185058594
3.25,0.108306884765625,0.21661376953125,0.324920654296875
3.2750000000000004,0.10966532592773441,0.21933065185546882,0.3289959777832033
3.3000000000000003,0.11102695312500002,0.22205390625000004,0.3330808593750001
3.325,0.11239165649414064,0.22478331298828128,0.3371749694824219
3.35,0.11375932617187501,0.22751865234375002,0.341277978515625
3.375,0.11512985229492187,0.23025970458984374,0.34538955688476564
3.4000000000000004,0.11650312500000003,0.23300625000000005,0.3495093750000001
3.4250000000000003,0.11787903442382812,0.23575806884765624,0.3536371032714844
3.45,0.11925747070312501,0.23851494140625001,0.35777241210937505
3.475,0.12063832397460936,0.24127664794921871,0.3619149719238281
3.5,0.12202148437499999,0.24404296874999998,0.366064453125
3.5250000000000004,0.12340684204101561,0.24681368408203122,0.37022052612304684
3.5500000000000003,0.12479428710937501,0.24958857421875003,0.37438286132812504
3.575,0.12618370971679688,0.25236741943359375,0.37855112915039063
3.6,0.127575,0.25515,0.38272500000000004
3.625,0.12896804809570311,0.25793609619140623,0.3869041442871094
3.6500000000000004,0.13036274414062501,0.26072548828125003,0.3910882324218751
3.6750000000000003,0.1317589782714844,0.2635179565429688,0.39527693481445314
3.7,0.13315664062500002,0.26631328125000003,0.3994699218750001
3.725,0.13455562133789065,0.2691112426757813,0.4036668640136719
3.75,0.135955810546875,0.27191162109375,0.407867431640625
3.7750000000000004,0.1373570983886719,0.2747141967773438,0.41207129516601576
3.8000000000000003,0.13875937500000002,0.27751875000000004,0.41627812500000005
3.825,0.14016253051757813,0.28032506103515625,0.4204875915527344
3.85,0.141566455078125,0.28313291015625,0.424699365234375
3.875,0.14297103881835938,0.28594207763671875,0.4289131164550781
3.9000000000000004,0.14437617187500001,0.28875234375000003,0.4331285156250001
3.9250000000000003,0.14578174438476565,0.2915634887695313,0.43734523315429696
3.95,0.14718764648437502,0.29437529296875004,0.4415629394531251
3.975,0.14859376831054688,0.29718753662109376,0.4457813049316407
4.0,0.15,0.3,0.45
4.025,0.15140623168945314,0.30281246337890627,0.45421869506835943
4.05,0.152812353515625,0.30562470703125,0.45843706054687505
4.075,0.15421825561523436,0.3084365112304687,0.4626547668457031
4.1000000000000005,0.15562382812500006,0.3112476562500001,0.46687148437500026
4.125,0.15702896118164061,0.31405792236328123,0.4710868835449219
4.15,0.15843354492187503,0.31686708984375006,0.4753006347656252
4.175,0.15983746948242186,0.3196749389648437,0.4795124084472656
4.2,0.16124062499999997,0.32248124999999994,0.48372187499999997
4.2250000000000005,0.16264290161132813,0.32528580322265627,0.4879287048339845
4.25,0.164044189453125,0.32808837890625,0.492132568359375
4.275,0.16544437866210934,0.3308887573242187,0.4963331359863281
4.3,0.16684335937499997,0.33368671874999994,0.5005300781249999
4.325,0.16824102172851566,0.3364820434570313,0.504723065185547
4.3500000000000005,0.16963725585937503,0.33927451171875006,0.5089117675781252
4.375,0.17103195190429688,0.34206390380859375,0.5130958557128906
4.4,0.17242500000000002,0.34485000000000005,0.5172750000000002
4.425,0.17381629028320308,0.34763258056640617,0.5214488708496093
4.45,0.175205712890625,0.35041142578125,0.5256171386718751
4.4750000000000005,0.17659315795898442,0.35318631591796884,0.5297794738769532
4.5,0.177978515625,0.35595703125,0.533935546875
4.525,0.17936167602539063,0.35872335205078126,0.538085028076172
4.55,0.18074252929687495,0.3614850585937499,0.5422275878906249
4.575,0.18212096557617188,0.36424193115234377,0.5463628967285157
4.6000000000000005,0.183496875,0.36699375,0.550490625
4.625,0.18487014770507812,0.36974029541015624,0.5546104431152344
4.65,0.186240673828125,0.37248134765625,0.558722021484375
4.675,0.18760834350585937,0.37521668701171873,0.5628250305175782
4.7,0.18897304687500002,0.37794609375000005,0.5669191406250002
4.7250000000000005,0.19033467407226567,0.38066934814453135,0.571004022216797
4.75,0.191693115234375,0.38338623046875,0.575079345703125
4.775,0.1930482604980469,0.3860965209960938,0.5791447814941407
4.800000000000001,0.19440000000000004,0.3888000000000001,0.5832000000000002
4.825,0.19574822387695312,0.39149644775390624,0.5872446716308594
4.8500000000000005,0.197092822265625,0.39418564453125,0.591278466796875
4.875,0.19843368530273436,0.39686737060546873,0.5953010559082031
4.9,0.19977070312500003,0.39954140625000006,0.5993121093750001
4.925000000000001,0.2011037658691406,0.4022075317382812,0.6033112976074219
4.95,0.20243276367187504,0.4048655273437501,0.6072982910156252
4.9750000000000005,0.2037575866699219,0.4075151733398438,0.6112727600097657
5.0,0.205078125,0.41015625,0.615234375
5.025,0.20639426879882813,0.41278853759765627,0.6191828063964845
5.050000000000001,0.20770590820312504,0.4154118164062501,0.6231177246093752
5.075,0.20901293334960933,0.41802586669921865,0.6270388000488281
5.1000000000000005,0.21031523437500002,0.42063046875000004,0.6309457031250001
5.125,0.21161270141601562,0.42322540283203125,0.6348381042480469
5.15,0.212905224609375,0.42581044921875,0.638715673828125
5.175000000000001,0.21419269409179686,0.42838538818359373,0.6425780822753906
5.2,0.215475,0.43095,0.646425
5.2250000000000005,0.21675203247070315,0.4335040649414063,0.6502560974121094
5.25,0.218023681640625,0.43604736328125,0.6540710449218751
5.275,0.21928983764648435,0.4385796752929687,0.6578695129394531
5.300000000000001,0.22055039062500004,0.4411007812500001,0.6616511718750001
5.325,0.22180523071289063,0.44361046142578126,0.6654156921386719
5.3500000000000005,0.22305424804687504,0.4461084960937501,0.6691627441406252
5.375,0.22429733276367186,0.44859466552734373,0.6728919982910156
5.4,0.22553437500000004,0.4510687500000001,0.6766031250000002
