z,x,y,x_rkf45,y_rkf45,x_gauss,y_gauss,error_rkf45,error_gauss
0,0,0,0,0,0,0,0,0
0.050000000000000003,0.0013136050791514996,0.00037879972095981879,0.0013136050791514628,0.00037879972095994732,0.0013136050791515003,0.00037879972095981651,1.2853216754815655e-16,2.2768245622195593e-18
0.10000000000000001,0.0026187629964512351,0.00078575222860864527,0.0026187629964511592,0.00078575222860890418,0.0026187629964512372,0.00078575222860864311,2.5890747878953846e-16,2.1684043449710089e-18
0.15000000000000002,0.0039148704658915545,0.0012206694163960051,0.0039148704658914305,0.0012206694163964145,0.0039148704658915554,0.0012206694163960077,4.0939474033052647e-16,2.6020852139652106e-18
0.20000000000000001,0.0052013283848731722,0.0016833502515959861,0.0052013283848729875,0.0016833502515965577,0.0052013283848731662,0.0016833502515959807,5.7159138533435794e-16,6.0715321659188248e-18
0.25,0.0064775421111296777,0.0021735808682309841,0.006477542111129434,0.0021735808682317261,0.0064775421111296777,0.0021735808682309793,7.4202796684907923e-16,4.7704895589362195e-18
0.30000000000000004,0.0077429217375903549,0.0026911346659275041,0.0077429217375900201,0.0026911346659284816,0.0077429217375903523,0.0026911346659275006,9.775166787129308e-16,3.4694469519536142e-18
0.35000000000000003,0.0089968823650541947,0.0032357724146581169,0.008996882365053846,0.0032357724146591374,0.0089968823650541981,0.0032357724146581147,1.0204510847433568e-15,3.4694469519536142e-18
0.40000000000000002,0.010238844372549152,0.0038072423653212777,0.010238844372548694,0.0038072423653225471,0.01023884437254915,0.0038072423653212721,1.2693839035460286e-15,5.6378512969246231e-18
0.45000000000000001,0.011468233685251608,0.0044052803661078742,0.011468233685251144,0.0044052803661091735,0.011468233685251607,0.0044052803661078716,1.2993078835066285e-15,2.6020852139652106e-18
0.5,0.012684482039842253,0.0050296099846006978,0.012684482039841651,0.0050296099846022825,0.012684482039842251,0.0050296099846006952,1.5846698953048133e-15,2.6020852139652106e-18
0.55000000000000004,0.013887027247175681,0.0056799426355504069,0.013887027247175072,0.0056799426355520072,0.013887027247175669,0.0056799426355504034,1.6002824065886045e-15,1.214306433183765e-17
0.60000000000000009,0.01507531345214228,0.0063559777142688997,0.015075313452141499,0.0063559777142708287,0.015075313452142278,0.0063559777142688945,1.9290125052862095e-15,5.2041704279304213e-18
0.65000000000000002,0.016248791390602424,0.0070574027355785164,0.016248791390601626,0.007057402735580481,0.016248791390602414,0.0070574027355785112,1.964574336543734e-15,1.0408340855860843e-17
0.70000000000000007,0.017406918643273976,0.007783893478252704,0.01740691864327296,0.0077838934782550433,0.017406918643273976,0.007783893478252704,2.3392746073547244e-15,0
0.75,0.018549159886455977,0.0085351141348815572,0.018549159886454912,0.0085351141348839876,0.01854915988645597,0.0085351141348815572,2.4303475898435067e-15,6.9388939039072284e-18
0.80000000000000004,0.019674987139472501,0.0093107174670927686,0.019674987139471179,0.0093107174670955927,0.019674987139472494,0.0093107174670927616,2.8241298188902419e-15,6.9388939039072284e-18
0.85000000000000009,0.020783880008722291,0.010110344966056384,0.020783880008720883,0.010110344966059365,0.020783880008722284,0.010110344966056383,2.9802549317281546e-15,6.9388939039072284e-18
0.90000000000000002,0.021875325928221466,0.01093362701819918,0.021875325928220057,0.010933627018202177,0.021875325928221463,0.010933627018199173,2.9976021664879227e-15,6.9388939039072284e-18
0.95000000000000007,0.022948820396528007,0.011780183076051888,0.022948820396526307,0.011780183076055278,0.022948820396528,0.011780183076051887,3.3896496720586811e-15,6.9388939039072284e-18
1,0.024003867209938547,0.012649621834150519,0.024003867209936823,0.012649621834153973,0.024003867209938558,0.012649621834150523,3.4538344406698229e-15,1.0408340855860843e-17
1.05,0.025039978691849752,0.013541541409910374,0.025039978691847889,0.013541541409914004,0.025039978691849755,0.013541541409910374,3.6307762352194572e-15,3.4694469519536142e-18
1.1000000000000001,0.026056675918178077,0.014455529529389045,0.026056675918176172,0.014455529529392743,0.02605667591817808,0.014455529529389045,3.6984304507825527e-15,3.4694469519536142e-18
1.1500000000000001,0.027053488938733935,0.015391163717852758,0.027053488938731714,0.015391163717856827,0.027053488938733945,0.015391163717852756,4.0696612746415894e-15,1.0408340855860843e-17
1.2000000000000002,0.028029956994447821,0.016348011495057782,0.028029956994445576,0.016348011495061911,0.028029956994447828,0.016348011495057786,4.1286418728248009e-15,6.9388939039072284e-18
1.25,0.028985628730347948,0.017325630575156716,0.028985628730345544,0.017325630575161025,0.028985628730347945,0.017325630575156712,4.3090531143263888e-15,3.4694469519536142e-18
1.3,0.029920062404191074,0.018323569071137261,0.029920062404188642,0.018323569071141618,0.029920062404191077,0.018323569071137247,4.3576253716537394e-15,1.3877787807814457e-17
1.3500000000000001,0.030832826090649957,0.019341365703698904,0.030832826090647119,0.019341365703703671,0.03083282609064995,0.019341365703698904,4.7670201119842659e-15,6.9388939039072284e-18
1.4000000000000001,0.031723497880963202,0.020378550014471131,0.031723497880959947,0.02037855001447629,0.031723497880963208,0.020378550014471142,5.1590676175550243e-15,1.0408340855860843e-17
1.4500000000000002,0.032591666077955016,0.021434642583474359,0.032591666077951671,0.021434642583479626,0.032591666077955023,0.021434642583474356,5.2666204730655863e-15,6.9388939039072284e-18
1.5,0.033436929386334927,0.022509155250723341,0.033436929386331138,0.022509155250728975,0.033436929386334913,0.02250915525072333,5.6343818499726694e-15,1.3877787807814457e-17
1.55,0.034258897098189363,0.023601591341870377,0.034258897098185144,0.023601591341876383,0.034258897098189391,0.023601591341870374,6.0056126738317062e-15,2.7755575615628914e-17
1.6000000000000001,0.035057189273579481,0.024711445897784245,0.035057189273574818,0.024711445897790611,0.035057189273579481,0.024711445897784248,6.366435156834882e-15,3.4694469519536142e-18
1.6500000000000001,0.035831436916161578,0.025838205907958513,0.035831436916156464,0.025838205907965234,0.035831436916161578,0.02583820590795852,6.7203187459341507e-15,6.9388939039072284e-18
1.7000000000000002,0.036581282143749103,0.026981350547641558,0.036581282143743531,0.026981350547648619,0.03658128214374911,0.026981350547641562,7.0603245472256049e-15,6.9388939039072284e-18
1.75,0.037306378353737339,0.028140351418578475,0.037306378353731302,0.028140351418585875,0.03730637835373736,0.028140351418578475,7.4003303485170591e-15,2.0816681711721685e-17
1.8,0.038006390383314263,0.029314672793253845,0.038006390383307762,0.029314672793261574,0.038006390383314263,0.029314672793253841,7.7299278089526524e-15,3.4694469519536142e-18
1.8500000000000001,0.038680994664383607,0.03050377186252216,0.038680994664376633,0.030503771862530206,0.038680994664383628,0.03050377186252216,8.0456474815804313e-15,2.0816681711721685e-17
1.9000000000000001,0.039329879373128443,0.031707098986511729,0.039329879373120984,0.031707098986520077,0.039329879373128443,0.031707098986511729,8.3474893664003957e-15,0
1.9500000000000002,0.039952744574146166,0.032924097948685886,0.039952744574138228,0.032924097948694546,0.03995274457414618,0.032924097948685893,8.659739592076221e-15,1.3877787807814457e-17
2,0.040549302359088345,0.034154206212944245,0.040549302359079921,0.034154206212953203,0.040549302359088345,0.034154206212944252,8.9581120299442318e-15,6.9388939039072284e-18
2.0500000000000003,0.041119276979741187,0.035396855183644951,0.041119276979732271,0.035396855183654194,0.041119276979741201,0.035396855183644972,9.2426066800044282e-15,2.0816681711721685e-17
2.1000000000000001,0.041662404975485248,0.036651470468427857,0.041662404975475832,0.036651470468437371,0.04166240497548529,0.036651470468427864,9.5132235422568101e-15,4.163336342344337e-17
2.1499999999999999,0.042178435295075423,0.03791747214371724,0.042178435295065507,0.03791747214372701,0.042178435295075437,0.037917472143717268,9.9156793886834294e-15,2.7755575615628914e-17
2.2000000000000002,0.042667129412684905,0.039194275022781097,0.04266712941267449,0.039194275022791124,0.042667129412684891,0.039194275022781111,1.041527974976475e-14,1.3877787807814457e-17
2.25,0.043128261438159517,0.04048128892622329,0.043128261438148588,0.040481288926233573,0.043128261438159558,0.040481288926223311,1.0928757898653885e-14,4.163336342344337e-17
2.3000000000000003,0.043561618221431377,0.041777918954783541,0.043561618221419941,0.041777918954794054,0.043561618221431432,0.041777918954783527,1.1435297153639112e-14,5.5511151231257827e-17
2.3500000000000001,0.043966999451043771,0.043083565764318862,0.043966999451031823,0.043083565764329611,0.043966999451043771,0.04308356576431889,1.1948775302528247e-14,2.7755575615628914e-17
2.4000000000000004,0.044344217746741514,0.044397625842839912,0.044344217746729052,0.044397625842850882,0.044344217746741514,0.04439762584283994,1.2462253451417382e-14,2.7755575615628914e-17
2.4500000000000002,0.044693098746084167,0.045719491789473508,0.044693098746071185,0.04571949178948468,0.04469309874608416,0.045719491789473543,1.2982670494210424e-14,3.4694469519536142e-17
2.5,0.045013481185041948,0.047048552595222934,0.045013481185028445,0.0470485525952343,0.045013481185042004,0.047048552595222948,1.3503087537003466e-14,5.5511151231257827e-17
2.5500000000000003,0.045305216972537178,0.048384193925395974,0.045305216972523155,0.048384193925407534,0.045305216972537199,0.048384193925396002,1.4023504579796509e-14,2.7755575615628914e-17
2.6000000000000001,0.045568171258896721,0.049725798403570144,0.045568171258882177,0.049725798403581885,0.045568171258896735,0.049725798403570186,1.4543921622589551e-14,4.163336342344337e-17
