z,x_o,y_o,x_e,y_e
0,0,0,0,0
0.050000000000000003,0.019826667094260071,-0.010647654550621147,0.022388962201803236,-0.013874717642202616
0.10000000000000001,0.039775336194190054,-0.02136082869687984,0.044872516662013924,-0.027802397618906297
0.15000000000000002,0.059845500383850579,-0.032139250206141973,0.067450198330474415,-0.04178277954789348
0.20000000000000001,0.080036569040986341,-0.042982601892381546,0.090121477937236433,-0.0558155670901982
0.25,0.10034786497736614,-0.053890520080437362,0.112885759986181,-0.069900426826731255
0.30000000000000004,0.12077862161907243,-0.064862593091724069,0.13574238078749618,-0.084036987156661663
0.35000000000000003,0.14132798023967449,-0.075898359758343706,0.15869060653835299,-0.098224837222784647
0.40000000000000002,0.16199498725998296,-0.086997307972953797,0.18172963146159229,-0.11246352586936977
0.45000000000000001,0.18277859162881638,-0.098158873282142123,0.20485857601268884,-0.12675256063823767
0.5,0.20367764229988394,-0.10938243753141913,0.22807648516565773,-0.14109140680903681
0.55000000000000004,0.22469088582054164,-0.12066732757029087,0.25138232678895339,-0.15547948648990703
0.60000000000000009,0.2458169640487452,-0.13201281402617795,0.27477499012272666,-0.16991617776489382
0.65000000000000002,0.26705441201502667,-0.143418110156218,0.2982532843690775,-0.1844008139046287
0.70000000000000007,0.28840165594674189,-0.15488237078621322,0.32181593740714731,-0.19893268264690786
0.75,0.30985701147214412,-0.16640469134615143,0.34546159464502424,-0.2135110255538723
0.80000000000000004,0.33141868202205554,-0.17798410701184461,0.36918881802050169,-0.22813503745253105
0.85000000000000009,0.35308475744697915,-0.18961959196226655,0.39299608516268486,-0.2428038659653437
0.90000000000000002,0.37485321286744999,-0.20131005876214905,0.41688178872633092,-0.2575166111375165
0.95000000000000007,0.39672190777521404,-0.21305435787928159,0.44084423591057559,-0.27227232516753658
1,0.41868858540246789,-0.22485127734576976,0.46488164817337108,-0.28707001224728562
1.05,0.44075087237586569,-0.23669954257222414,0.48899216115252442,-0.30190862851782885
1.1000000000000001,0.46290627867128903,-0.24859781632347,0.51317382480365692,-0.31678708214665885
1.1500000000000001,0.48515219788449454,-0.26054469886389514,0.5374246037647431,-0.33170423353180145
1.2000000000000002,0.50748590783167902,-0.27253872827997577,0.56174237795608062,-0.34665889563773977
1.25,0.52990457149273162,-0.2845783809868373,0.58612494342363153,-0.36164983446760163
1.3,0.55240523830849397,-0.29666207242493187,0.61057001343263528,-0.37667576967547578
1.3500000000000001,0.57498484584170517,-0.3087881579520268,0.63507521981723958,-0.39173537532207148
1.4000000000000001,0.59764022180948617,-0.32095493393472402,0.65963811459063382,-0.40682728077623448
1.4500000000000002,0.62036808649321873,-0.33316063904265447,0.68425617181878784,-0.42195007176405619
1.5,0.64316505552952219,-0.34540345574733594,0.70892678975944312,-0.43710229156649716
1.55,0.6660276430837232,-0.35768151202644394,0.73364729326643507,-0.45228244236557141
1.6000000000000001,0.6889522654047856,-0.36999288327294033,0.75841493645780467,-0.46748898673822459
1.6500000000000001,0.71193524475812819,-0.38233559440714288,0.7832269056444594,-0.4827203492960962
1.7000000000000002,0.73497281373013545,-0.39470762218840599,0.80808032251441508,-0.49797491846838049
1.75,0.75806111989549629,-0.40710689772165537,0.83297224756587884,-0.51325104842401414
1.8,0.78119623083579126,-0.41953130915255454,0.85789968378066928,-0.52854706112842964
1.8500000000000001,0.80437413949505887,-0.43197870454364268,0.88285958052769864,-0.54386124852912032
1.9000000000000001,0.82759076985539848,-0.44444689492234352,0.90784883768451907,-0.55919187486329891
1.9500000000000002,0.85084198291307933,-0.45693365749035736,0.93286430996324476,-0.57453717907998825
2,0.87412358293312498,-0.46943673898260407,0.95790281142555733,-0.58989537736797848
2.0500000000000003,0.89743132395799041,-0.4819538591626244,0.98296112016998438,-0.60526466578024063
2.1000000000000001,0.92076091654375181,-0.49448271444016295,1.0080359831732277,-0.62064322294459306
2.1499999999999999,0.94410803469525018,-0.50702098159559716,1.0331241212660536,-0.63602921284970948
2.2000000000000002,0.96746832296984786,-0.51956632159491822,1.0582222342231131,-0.6514207876949154
2.25,0.99083740371795515,-0.53211638347816104,1.0833270059451088,-0.66681609079169124
2.3000000000000003,1.014210884427249,-0.54466880830352249,1.1084351097109255,-0.6822132595043473
2.3500000000000001,1.0375843651365428,-0.55722123312888394,1.1335432134767425,-0.69761042821700336
2.4000000000000004,1.0609534458846506,-0.56977129501212709,1.1586479851987381,-0.7130057313137792
2.4500000000000002,1.0843137341592479,-0.58231663501144781,1.1837460981557975,-0.72839730615898501
2.5,1.1076608523107463,-0.59485490216688219,1.2088342362486233,-0.74378329606410132
2.5500000000000003,1.1309904448965078,-0.60738375744442075,1.2339090992518669,-0.75916185322845386
2.6000000000000001,1.154298185921373,-0.61990087762444102,1.2589674079962938,-0.77453114164071613
2.6500000000000004,1.177579785941419,-0.63240395911668779,1.2840059094586063,-0.78988933992870636
2.7000000000000002,1.2008309989990995,-0.64489072168470152,1.309021381737332,-0.80523464414539569
2.75,1.2240476293594393,-0.65735891206340247,1.3340106388941524,-0.82056527047957428
2.8000000000000003,1.2472255380187065,-0.66980630745449043,1.3589705356411819,-0.83587945788026496
2.8500000000000001,1.2703606489590016,-0.68223071888538966,1.3838979718559721,-0.85117547058468035
2.9000000000000004,1.2934489551243626,-0.69462999441863904,1.4087898969074362,-0.86645160054031434
2.9500000000000002,1.3164865240963699,-0.70700202219990227,1.4336433137773916,-0.8817061697125983
3,1.3394695034497124,-0.71934473333410465,1.4584552829640465,-0.89693753227047002
3.0500000000000003,1.3623941257707748,-0.73165610458060115,1.483222926155416,-0.91214407664312314
3.1000000000000001,1.3852567133249758,-0.74393416085970909,1.5079434296624079,-0.92732422744219745
3.1500000000000004,1.4080536823612795,-0.75617697756439073,1.5326140476030634,-0.94247644724463853
3.2000000000000002,1.4307815470450118,-0.76838268267232102,1.5572321048312174,-0.95759923823246018
3.25,1.4534369230127928,-0.78054945865501824,1.5817949996046117,-0.97269114368662302
3.3000000000000003,1.4760165305460045,-0.79267554418211328,1.6063002059892162,-0.98775074933321894
3.3500000000000001,1.4985171973617661,-0.80475923562020768,1.6307452759982197,-1.002776684541093
3.4000000000000004,1.520935861022819,-0.81679888832706937,1.6551278414657706,-1.0177676233709549
3.4500000000000002,1.5432695709700035,-0.82879291774314989,1.6794456156571078,-1.0327222854768929
3.5,1.5655154901832091,-0.8407398002835752,1.703696394618194,-1.0476394368620356
3.5500000000000003,1.5876708964786324,-0.85263807403482095,1.7278780582693265,-1.0625178904908656
3.6000000000000001,1.6097331834520299,-0.86448633926127516,1.75198857124848,-1.0773565067614088
3.6500000000000004,1.6316998610792841,-0.87628325872776358,1.7760259835112757,-1.0921541938411581
3.7000000000000002,1.6535685559870479,-0.88802755784489595,1.7999884306955201,-1.1069099078711779
3.75,1.6753370114075188,-0.89971802464477846,1.8238741342591664,-1.1216226530433508
3.8000000000000003,1.6970030868324426,-0.91135350959520045,1.8476814014013492,-1.1362914815561633
3.8500000000000001,1.7185647573823537,-0.92293292526089354,1.8714086247768269,-1.1509154934548222
3.9000000000000004,1.7400201129077559,-0.93445524582083173,1.8950542820147041,-1.1654938363617868
3.9500000000000002,1.7613673568394714,-0.94591950645082712,1.9186169350527733,-1.1800257051040657
4,1.7826048048057528,-0.95732480258086716,1.9420952292991243,-1.1945103412438007
4.0499999999999998,1.8037308830339562,-0.96867028903675412,1.9654878926328974,-1.2089470325187874
4.1000000000000005,1.8247441265546143,-0.97995517907562602,1.9887937342561934,-1.2233351121996578
4.1500000000000004,1.8456431772256816,-0.99117874332490286,2.0120116434091622,-1.2376739583704568
4.2000000000000002,1.866426781594515,-1.0023403086340912,2.0351405879602593,-1.2519629931393248
4.25,1.8870937886148238,-1.0134392568487014,2.0581796128834986,-1.2662016817859101
4.2999999999999998,1.9076431472354256,-1.024475023515321,2.0811278386343548,-1.2803895318520329
4.3500000000000005,1.9280739038771317,-1.0354470965266076,2.1039844594356705,-1.2945260921819635
4.4000000000000004,1.9483851998135118,-1.0463550147146636,2.1267487414846147,-1.3086109519184963
4.4500000000000002,1.9685762684706474,-1.057198366400903,2.1494200210913768,-1.3226437394608008
4.5,1.9886464326603077,-1.0679767879101651,2.1719977027598372,-1.336624121389788
4.5499999999999998,2.0085951017602377,-1.0786899620564239,2.1944812572200476,-1.3505518013664919
4.6000000000000005,2.0284217688544977,-1.089337616607045,2.216870219421851,-1.3644265190086946
4.6500000000000004,2.0481260078460224,-1.099919522732123,2.239164186498499,-1.3782480487507545
4.7000000000000002,2.0677074705527656,-1.1104354934450036,2.2613628157086083,-1.3920161986913038
4.75,2.0871658837980123,-1.1208853820396731,2.2834658223642856,-1.4057308094332024
4.8000000000000007,2.1065010465046461,-1.1312690805302728,2.3054729777527312,-1.4193917529198423
4.8500000000000005,2.1257128268023804,-1.1415865180975744,2.3273841070581076,-1.4329989312715972
4.9000000000000004,2.1448011591561889,-1.151837659546842,2.3491990872899557,-1.4465522756259417
4.9500000000000002,2.163766041523437,-1.1620225037811049,2.3709178452239268,-1.4600517449844628
5,2.1826075325464691,-1.1721410822934739,2.3925403553600972,-1.4734973250697181
5.0500000000000007,2.2013257487867373,-1.1821934576817661,2.4140666379036695,-1.4868890271946287
5.1000000000000005,2.2199208620058557,-1.1921797221883299,2.4354967567723769,-1.5002268871468205
5.1500000000000004,2.2383930964983567,-1.2020999962676358,2.4568308176344793,-1.5135109640900963
5.2000000000000002,2.2567427264802942,-1.2119544271838614,2.4780689659807882,-1.52674133948496
5.25,2.2749700735372871,-1.2217431876403948,2.4992113852337696,-1.5399181160298996
5.3000000000000007,2.2930755041350359,-1.2314664744428896,2.5202582948963705,-1.5530414166249158
5.3500000000000005,2.3110594271948739,-1.241124507197247,2.5412099487428592,-1.5661113833585669
5.4000000000000004,2.3289222917363945,-1.250717527043619,2.5620666330536164,-1.5791281765196286
5.4500000000000002,2.3466645845888272,-1.2602457954273329,2.5828286648954917,-1.5920919736342625
5.5,2.3642868281723661,-1.2697095929073816,2.6034963904490476,-1.6050029685294374
5.5500000000000007,2.3817895783503218,-1.2791092180029504,2.6240701833837203,-1.6178613704231808
5.6000000000000005,2.3991734223526247,-1.2884449860782612,2.6445504432816769,-1.6306674030420927
5.6500000000000004,2.4164389767708996,-1.2977172282658533,2.6649375941109117,-1.6434213037664316
5.7000000000000002,2.4335868856250196,-1.306926290428251,2.6852320827478886,-1.6561233228029395
