z,x,y,x_rkf45,y_rkf45,x_gauss,y_gauss,error_rkf45,error_gauss
0,0,0,0,0,0,0,0,0
0.050000000000000003,7.0019531250000013e-05,2.3339843750000004e-05,7.0019531250000027e-05,2.3339843750000004e-05,7.0019531249999986e-05,2.3339843750000004e-05,1.3552527156068805e-20,2.7105054312137611e-20
0.10000000000000001,0.00027890625000000002,9.296875000000002e-05,0.00027890625000000007,9.296875000000002e-05,0.00027890625000000002,9.2968750000000007e-05,5.4210108624275222e-20,1.3552527156068805e-20
0.15000000000000002,0.00062490234375000013,0.00020830078125000004,0.00062490234375000013,0.00020830078125000004,0.00062490234375000013,0.00020830078125000013,0,8.1315162936412833e-20
0.20000000000000001,0.0011062500000000002,0.0003687500000000001,0.00110625,0.00036875000000000005,0.0011062500000000002,0.00036874999999999994,2.1684043449710089e-19,1.6263032587282567e-19
0.25,0.00172119140625,0.00057373046875000002,0.0017211914062499997,0.00057373046875000002,0.0017211914062500008,0.00057373046875000002,2.1684043449710089e-19,8.6736173798840355e-19
0.30000000000000004,0.002467968750000001,0.00082265625000000036,0.0024679687500000005,0.00082265625000000025,0.0024679687500000005,0.00082265625000000025,4.3368086899420177e-19,4.3368086899420177e-19
0.35000000000000003,0.0033448242187500005,0.0011149414062500002,0.0033448242187500009,0.0011149414062500002,0.0033448242187500013,0.0011149414062499999,4.3368086899420177e-19,8.6736173798840355e-19
0.40000000000000002,0.0043500000000000006,0.0014500000000000003,0.0043500000000000014,0.0014500000000000001,0.0043500000000000014,0.0014500000000000003,8.6736173798840355e-19,8.6736173798840355e-19
0.45000000000000001,0.0054817382812500006,0.0018272460937500002,0.0054817382812500015,0.0018272460937500002,0.0054817382812499989,0.0018272460937500002,8.6736173798840355e-19,1.7347234759768071e-18
0.5,0.0067382812499999995,0.0022460937500000003,0.0067382812500000012,0.0022460937500000003,0.0067382812500000021,0.0022460937500000003,1.7347234759768071e-18,2.6020852139652106e-18
0.55000000000000004,0.0081178710937500013,0.002705957031250001,0.008117871093750003,0.0027059570312500006,0.008117871093750003,0.0027059570312500023,1.7347234759768071e-18,1.7347234759768071e-18
0.60000000000000009,0.0096187500000000023,0.0032062500000000008,0.009618750000000004,0.0032062500000000012,0.0096187500000000075,0.0032062500000000029,1.7347234759768071e-18,5.2041704279304213e-18
0.65000000000000002,0.011239160156249999,0.00374638671875,0.011239160156250002,0.0037463867187500005,0.011239160156250004,0.0037463867187500018,3.4694469519536142e-18,5.2041704279304213e-18
0.70000000000000007,0.012977343750000002,0.0043257812500000006,0.012977343750000004,0.0043257812500000015,0.012977343749999993,0.0043257812500000024,1.7347234759768071e-18,8.6736173798840355e-18
0.75,0.01483154296875,0.00494384765625,0.014831542968750002,0.0049438476562500009,0.014831542968750003,0.0049438476562500017,1.7347234759768071e-18,3.4694469519536142e-18
0.80000000000000004,0.016800000000000002,0.0056000000000000008,0.016800000000000002,0.0056000000000000017,0.016799999999999995,0.0056000000000000008,8.6736173798840355e-19,6.9388939039072284e-18
0.85000000000000009,0.018880957031250003,0.0062936523437500018,0.018880957031250003,0.0062936523437500027,0.018880957031249999,0.0062936523437500036,8.6736173798840355e-19,3.4694469519536142e-18
0.90000000000000002,0.021072656249999999,0.0070242187500000001,0.021072656250000002,0.0070242187500000018,0.021072656250000005,0.0070242187500000018,3.4694469519536142e-18,6.9388939039072284e-18
0.95000000000000007,0.02337333984375,0.0077911132812500013,0.023373339843750004,0.007791113281250003,0.023373339843750014,0.0077911132812500004,3.4694469519536142e-18,1.3877787807814457e-17
1,0.025781249999999999,0.0085937500000000007,0.025781250000000002,0.0085937500000000024,0.025781250000000009,0.0085937500000000042,3.4694469519536142e-18,1.0408340855860843e-17
1.05,0.028294628906250001,0.0094315429687500014,0.028294628906250004,0.0094315429687500032,0.028294628906249997,0.0094315429687500049,3.4694469519536142e-18,3.4694469519536142e-18
1.1000000000000001,0.030911718750000008,0.010303906250000003,0.030911718750000008,0.010303906250000005,0.030911718750000018,0.01030390625,1.7347234759768071e-18,1.0408340855860843e-17
1.1500000000000001,0.033630761718750006,0.011210253906250002,0.033630761718750013,0.011210253906250005,0.033630761718750027,0.011210253906250004,6.9388939039072284e-18,2.0816681711721685e-17
1.2000000000000002,0.036450000000000003,0.012150000000000003,0.036450000000000017,0.012150000000000006,0.036450000000000038,0.012150000000000005,1.3877787807814457e-17,3.4694469519536142e-17
1.25,0.03936767578125,0.01312255859375,0.039367675781250007,0.013122558593750003,0.03936767578125,0.013122558593749997,6.9388939039072284e-18,3.4694469519536142e-18
1.3,0.04238203125,0.014127343750000002,0.042382031250000007,0.014127343750000005,0.042382031250000021,0.014127343750000007,6.9388939039072284e-18,2.0816681711721685e-17
1.3500000000000001,0.045491308593750009,0.015163769531250005,0.045491308593750009,0.015163769531250006,0.045491308593750023,0.015163769531250005,1.7347234759768071e-18,1.3877787807814457e-17
1.4000000000000001,0.048693750000000008,0.016231250000000003,0.048693750000000008,0.016231250000000006,0.048693750000000015,0.016231250000000003,3.4694469519536142e-18,6.9388939039072284e-18
1.4500000000000002,0.051987597656250002,0.017329199218750004,0.051987597656250009,0.017329199218750008,0.051987597656250037,0.017329199218750008,6.9388939039072284e-18,3.4694469519536142e-17
1.5,0.055371093749999996,0.018457031250000002,0.055371093749999996,0.018457031250000002,0.055371093750000031,0.018457031250000006,0,3.4694469519536142e-17
1.55,0.058842480468750014,0.019614160156250005,0.05884248046875,0.019614160156250005,0.058842480468750014,0.019614160156250011,1.3877787807814457e-17,6.9388939039072284e-18
1.6000000000000001,0.062400000000000011,0.020800000000000006,0.062400000000000004,0.020800000000000006,0.062400000000000011,0.020799999999999999,6.9388939039072284e-18,6.9388939039072284e-18
1.6500000000000001,0.06604189453125002,0.022013964843750008,0.066041894531250006,0.022013964843750008,0.066041894531250034,0.022013964843750011,1.3877787807814457e-17,1.3877787807814457e-17
1.7000000000000002,0.06976640625000001,0.023255468750000008,0.06976640625000001,0.023255468750000008,0.069766406250000065,0.023255468750000015,0,5.5511151231257827e-17
1.75,0.073571777343749992,0.024523925781250001,0.073571777343749992,0.024523925781250004,0.073571777343750033,0.024523925781250011,3.4694469519536142e-18,4.163336342344337e-17
1.8,0.077456250000000004,0.025818750000000001,0.07745624999999999,0.025818750000000005,0.077456250000000046,0.025818750000000012,1.3877787807814457e-17,4.163336342344337e-17
1.8500000000000001,0.081418066406250003,0.027139355468750005,0.081418066406249989,0.027139355468750008,0.081418066406250059,0.027139355468750015,1.3877787807814457e-17,5.5511151231257827e-17
1.9000000000000001,0.085455468750000013,0.028485156250000004,0.085455468749999985,0.028485156250000008,0.085455468750000096,0.028485156250000015,2.7755575615628914e-17,8.3266726846886741e-17
1.9500000000000002,0.089566699218750018,0.029855566406250006,0.08956669921874999,0.029855566406250009,0.089566699218750045,0.02985556640625003,2.7755575615628914e-17,2.7755575615628914e-17
2,0.09375,0.03125,0.093749999999999972,0.031250000000000007,0.093750000000000014,0.031250000000000021,2.7755575615628914e-17,2.0816681711721685e-17
2.0500000000000003,0.098003613281250027,0.032667871093750016,0.098003613281249999,0.032667871093750016,0.098003613281250054,0.032667871093750037,2.7755575615628914e-17,2.7755575615628914e-17
2.1000000000000001,0.10232578125,0.034108593749999999,0.10232578124999998,0.034108593750000013,0.10232578125000011,0.03410859375000002,1.3877787807814457e-17,1.1102230246251565e-16
2.1499999999999999,0.10671474609374999,0.03557158203125,0.10671474609374997,0.035571582031250007,0.10671474609375006,0.035571582031250007,2.7755575615628914e-17,6.9388939039072284e-17
2.2000000000000002,0.11116875000000002,0.037056250000000006,0.11116874999999998,0.037056250000000013,0.11116875000000009,0.03705625000000002,4.163336342344337e-17,6.9388939039072284e-17
2.25,0.11568603515624999,0.038562011718750004,0.11568603515624996,0.038562011718750011,0.11568603515625006,0.038562011718750011,2.7755575615628914e-17,6.9388939039072284e-17
2.3000000000000003,0.12026484375000002,0.04008828125000001,0.12026484374999999,0.040088281250000017,0.12026484375000014,0.040088281250000045,2.7755575615628914e-17,1.2490009027033011e-16
2.3500000000000001,0.12490341796875003,0.041634472656250011,0.12490341796874997,0.041634472656250011,0.12490341796875014,0.041634472656250046,5.5511151231257827e-17,1.1102230246251565e-16
2.4000000000000004,0.12960000000000002,0.043200000000000016,0.12959999999999999,0.043200000000000023,0.12960000000000019,0.043200000000000037,2.7755575615628914e-17,1.6653345369377348e-16
2.4500000000000002,0.13435283203125004,0.044784277343750012,0.13435283203124998,0.044784277343750019,0.13435283203125009,0.044784277343750047,5.5511151231257827e-17,5.5511151231257827e-17
2.5,0.13916015625,0.04638671875,0.13916015624999997,0.046386718750000014,0.13916015625000006,0.046386718750000028,2.7755575615628914e-17,5.5511151231257827e-17
2.5500000000000003,0.14402021484375002,0.04800673828125001,0.14402021484374999,0.048006738281250023,0.14402021484375016,0.048006738281250044,2.7755575615628914e-17,1.3877787807814457e-16
2.6000000000000001,0.14893125000000002,0.049643750000000007,0.14893124999999999,0.049643750000000014,0.1489312500000001,0.049643750000000056,2.7755575615628914e-17,8.3266726846886741e-17
2.6500000000000004,0.15389150390625003,0.051297167968750015,0.15389150390625,0.051297167968750022,0.15389150390625014,0.051297167968750043,2.7755575615628914e-17,1.1102230246251565e-16
2.7000000000000002,0.15889921875000002,0.052966406250000014,0.15889921874999999,0.052966406250000014,0.15889921875000013,0.052966406250000042,2.7755575615628914e-17,1.1102230246251565e-16
2.75,0.16395263671874999,0.054650878906250006,0.16395263671874996,0.054650878906250006,0.16395263671875016,0.054650878906250054,2.7755575615628914e-17,1.6653345369377348e-16
2.8000000000000003,0.16905000000000003,0.056350000000000011,0.16904999999999998,0.056350000000000011,0.16905000000000014,0.056350000000000046,5.5511151231257827e-17,1.1102230246251565e-16
2.8500000000000001,0.17418955078125001,0.058063183593750005,0.17418955078124995,0.058063183593750005,0.17418955078125012,0.058063183593750074,5.5511151231257827e-17,1.1102230246251565e-16
2.9000000000000004,0.17936953125000002,0.059789843750000009,0.17936953124999999,0.059789843750000016,0.17936953125000013,0.059789843750000064,2.7755575615628914e-17,1.1102230246251565e-16
2.9500000000000002,0.18458818359375001,0.061529394531250003,0.18458818359374998,0.06152939453125001,0.18458818359375018,0.061529394531250087,2.7755575615628914e-17,1.6653345369377348e-16
3,0.18984375000000001,0.063281249999999997,0.18984374999999998,0.063281249999999997,0.18984375000000026,0.06328125000000008,2.7755575615628914e-17,2.4980018054066022e-16
3.0500000000000003,0.19513447265625006,0.065044824218750019,0.19513447265625,0.065044824218750005,0.19513447265625025,0.065044824218750089,5.5511151231257827e-17,1.9428902930940239e-16
3.1000000000000001,0.20045859375000005,0.066819531250000022,0.20045859374999997,0.066819531249999994,0.20045859375000025,0.066819531250000092,8.3266726846886741e-17,1.9428902930940239e-16
3.1500000000000004,0.20581435546875004,0.068604785156250014,0.20581435546874999,0.068604785156250001,0.20581435546875029,0.068604785156250042,5.5511151231257827e-17,2.4980018054066022e-16
3.2000000000000002,0.21120000000000005,0.070400000000000018,0.21119999999999997,0.07039999999999999,0.21120000000000005,0.070400000000000088,8.3266726846886741e-17,6.9388939039072284e-17
3.25,0.21661376953125,0.07220458984375,0.21661376953124994,0.072204589843749986,0.21661376953125031,0.072204589843750083,5.5511151231257827e-17,3.0531133177191805e-16
3.3000000000000003,0.22205390625000004,0.074017968750000024,0.22205390624999996,0.074017968749999996,0.2220539062500004,0.074017968750000079,8.3266726846886741e-17,3.6082248300317588e-16
3.3500000000000001,0.22751865234375002,0.075839550781250015,0.22751865234374993,0.075839550781249987,0.22751865234375016,0.075839550781250084,8.3266726846886741e-17,1.3877787807814457e-16
3.4000000000000004,0.23300625000000005,0.077668750000000022,0.23300624999999997,0.077668749999999995,0.23300625000000044,0.077668750000000134,8.3266726846886741e-17,3.8857805861880479e-16
3.4500000000000002,0.23851494140625001,0.079504980468750014,0.23851494140624996,0.079504980468749986,0.23851494140625015,0.079504980468750139,5.5511151231257827e-17,1.3877787807814457e-16
3.5,0.24404296874999998,0.081347656250000011,0.24404296874999995,0.081347656249999983,0.24404296875000031,0.081347656250000094,2.7755575615628914e-17,3.3306690738754696e-16
3.5500000000000003,0.24958857421875003,0.083196191406250009,0.24958857421874997,0.083196191406249995,0.24958857421875047,0.083196191406250092,5.5511151231257827e-17,4.4408920985006262e-16
3.6000000000000001,0.25514999999999999,0.085050000000000014,0.25514999999999993,0.085049999999999987,0.25515000000000021,0.085050000000000084,5.5511151231257827e-17,2.2204460492503131e-16
3.6500000000000004,0.26072548828125003,0.086908496093750023,0.26072548828124997,0.086908496093749996,0.26072548828125053,0.086908496093750107,5.5511151231257827e-17,4.9960036108132044e-16
3.7000000000000002,0.26631328125000003,0.08877109375000003,0.26631328124999998,0.088771093749999988,0.26631328125000031,0.088771093750000168,5.5511151231257827e-17,2.7755575615628914e-16
3.75,0.27191162109375,0.09063720703125,0.27191162109374994,0.090637207031249986,0.27191162109375044,0.090637207031250125,5.5511151231257827e-17,4.4408920985006262e-16
3.8000000000000003,0.27751875000000004,0.092506250000000012,0.27751874999999998,0.092506249999999998,0.27751875000000054,0.092506250000000123,5.5511151231257827e-17,4.9960036108132044e-16
3.8500000000000001,0.28313291015624997,0.094377636718750005,0.28313291015624997,0.094377636718749991,0.28313291015625047,0.094377636718750116,1.3877787807814457e-17,4.9960036108132044e-16
3.9000000000000004,0.28875234375000003,0.096250781250000028,0.28875234375000003,0.09625078125,0.28875234375000053,0.096250781250000195,2.7755575615628914e-17,4.9960036108132044e-16
3.9500000000000002,0.29437529296875004,0.098125097656250021,0.29437529296875004,0.098125097656249993,0.29437529296875059,0.098125097656250104,2.7755575615628914e-17,5.5511151231257827e-16
4,0.29999999999999999,0.10000000000000001,0.29999999999999999,0.099999999999999992,0.30000000000000049,0.10000000000000021,1.3877787807814457e-17,4.9960036108132044e-16
4.0499999999999998,0.30562470703125,0.10187490234375002,0.30562470703124994,0.10187490234374999,0.30562470703125044,0.10187490234375016,5.5511151231257827e-17,4.4408920985006262e-16
4.1000000000000005,0.31124765625000012,0.10374921875000005,0.31124765625,0.10374921875000001,0.31124765625000061,0.1037492187500002,1.1102230246251565e-16,4.9960036108132044e-16
4.1500000000000004,0.31686708984375006,0.10562236328125003,0.31686708984375,0.10562236328125001,0.31686708984375067,0.10562236328125013,5.5511151231257827e-17,6.106226635438361e-16
4.2000000000000002,0.32248124999999994,0.10749375,0.32248125,0.10749375,0.32248125000000072,0.10749375000000014,5.5511151231257827e-17,7.7715611723760958e-16
4.25,0.32808837890624998,0.10936279296875001,0.32808837890624998,0.10936279296875,0.32808837890625037,0.10936279296875016,1.3877787807814457e-17,3.8857805861880479e-16
4.2999999999999998,0.33368671874999994,0.11122890625,0.33368671874999994,0.11122890625,0.33368671875000055,0.11122890625000016,0,6.106226635438361e-16
4.3500000000000005,0.33927451171875006,0.11309150390625003,0.33927451171875,0.11309150390625002,0.33927451171875056,0.11309150390625021,5.5511151231257827e-17,4.9960036108132044e-16
4.4000000000000004,0.34485000000000005,0.11495000000000002,0.34484999999999999,0.11495000000000001,0.34485000000000071,0.11495000000000019,5.5511151231257827e-17,6.6613381477509392e-16
4.4500000000000002,0.35041142578125001,0.11680380859375002,0.35041142578124995,0.11680380859375,0.35041142578125062,0.11680380859375027,5.5511151231257827e-17,6.106226635438361e-16
4.5,0.35595703125,0.11865234375,0.35595703124999994,0.11865234375,0.3559570312500005,0.11865234375000021,5.5511151231257827e-17,4.9960036108132044e-16
4.5499999999999998,0.36148505859374991,0.12049501953124997,0.36148505859374991,0.12049501953125,0.3614850585937508,0.12049501953125026,2.7755575615628914e-17,8.8817841970012523e-16
