delta_z,z_e1,x_e1,y_e1,z_e2,x_e2,y_e2,z_e3,x_e3,y_e3,z_e4,x_e4,y_e4,z_e5,x_e5,y_e5
0,2.4353431423176692,0,0,4.8706862846353385,0,0,7.3060294269530077,0,0,9.741372569270677,0,0,12.176715711588345,0,0
0.060883578557941728,2.4962267208756108,0.0020542990346143365,0.0083761402128831146,4.9315698631932801,-0.0062268006927099287,0.0059671452573873815,7.3669130055109493,-0.0082810997273244109,-0.0024089949554956876,9.8022561478286185,-0.0020542990346143365,-0.0083761402128831874,12.237599290146287,0.0062268006927096,-0.0059671452573870527
0.12176715711588346,2.5571102994335528,0.0038886323228846829,0.016803185411352124,4.9924534417512216,-0.012607669269288609,0.011769247083271425,7.4277965840688909,-0.016496301592173274,-0.0050339383280806251,9.8631397263865601,-0.0038886323228846829,-0.016803185411352197,12.298482868704228,0.012607669269288281,-0.011769247083271133
0.18265073567382517,2.6179938779914944,0.005501742704402162,0.025275360119568165,5.0533370203091632,-0.019138232601144903,0.01740232900688192,7.4886801626268333,-0.024639975305547318,-0.0078730311126861512,9.9240233049445017,-0.005501742704402162,-0.02527536011956831,12.35936644726217,0.019138232601144681,-0.017402329006881739
0.24353431423176691,2.678877456549436,0.006892524633887967,0.033786857932180857,5.1142205988671057,-0.025814014966380441,0.022862530395247469,7.5495637411847749,-0.032706539600268446,-0.010924327536933426,9.9849068835024433,-0.0068925246338880043,-0.033786857932181072,12.420250025820112,0.025814014966380111,-0.022862530395247212
0.30441789278970866,2.739761035107378,0.0080600249388787914,0.042331845493748244,5.1751041774250472,-0.032630441117224407,0.028146109099079261,7.6104473197427165,-0.040690466056103311,-0.014185736394669036,10.045790462060385,-0.0080600249388787185,-0.042331845493747952,12.481133604378053,0.03263044111722415,-0.028146109099079077
0.36530147134765034,2.8006446136653196,0.0090034434729834682,0.050904466496627353,5.2359877559829888,-0.039582839415681373,0.03324944401745452,7.6713308983006581,-0.048586282888664858,-0.017655022479172777,10.106674040618326,-0.0090034434729834318,-0.050904466496627061,12.542017182935997,0.039582839415681158,-0.033249444017454374
0.42618504990559208,2.8615281922232612,0.0097221336642635617,0.059498845694594633,5.2968713345409304,-0.04666644503523748,0.038169037579537414,7.7322144768585996,-0.056388578699501174,-0.021329808115057185,10.16755761917627,-0.0097221336642635981,-0.059498845694595001,12.602900761493938,0.046666445035237369,-0.038169037579537303
0.48706862846353383,2.9224117707812032,0.010215602958361349,0.068109092929446696,5.357754913098872,-0.053876403226435256,0.042901518141639741,7.7930980554165412,-0.064092006184796602,-0.025207574787806948,10.228441197734211,-0.010215602958361386,-0.068109092929447126,12.66378434005188,0.053876403226435145,-0.042901518141639637
0.54795220702147551,2.9832953493391448,0.01048351315607198,0.076729307167820213,5.4186384916568144,-0.061207772644075786,0.047443642297976873,7.8539816339744828,-0.071691285800147789,-0.029285664869843402,10.289324776292153,-0.01048351315607198,-0.076729307167820143,12.724667918609821,0.061207772644075675,-0.047443642297976762
