case,rkf45,gauss
1,2.2994939286036242e-12,1.0658141036401503e-14
2,7.0299321919264912e-13,5.3290705182007514e-15
3,1.354294454358751e-11,3.3750779948604759e-14
4,8.7185814123813543e-13,5.1070259132757201e-15
5,5.5511151231257827e-16,5.9952043329758453e-15
