z,x_e1,y_e1,x_e2,y_e2,x_e3,y_e3,x_e4,y_e4,x_e5,y_e5
3.835665449150329,-0.0092714559060157239,0.19516303027974843,nan,nan,nan,nan,nan,nan,nan,nan
3.8965490277082706,-0.012322752330262999,0.2032295945744696,nan,nan,nan,nan,nan,nan,nan,nan
3.9574326062662122,-0.015584161187998572,0.21121352103030439,nan,nan,nan,nan,nan,nan,nan,nan
4.0183161848241538,-0.019053447272502386,0.21910933786286604,nan,nan,nan,nan,nan,nan,nan,nan
4.0791997633820962,-0.022728232908386794,0.22691163367370243,nan,nan,nan,nan,nan,nan,nan,nan
4.1400833419400378,-0.026605999581136557,0.23461506115899783,nan,nan,nan,nan,nan,nan,nan,nan
4.2009669204979794,-0.030684089663173011,0.24221434077434903,nan,nan,nan,nan,nan,nan,nan,nan
4.2618504990559209,-0.034959708235259061,0.24970426435309995,nan,nan,nan,nan,nan,nan,nan,nan
4.3227340776138625,-0.039429925001997226,0.25707969867575964,nan,nan,nan,nan,nan,nan,nan,nan
4.3836176561718041,-0.044091676300107949,0.26433558898805465,nan,nan,nan,nan,nan,nan,nan,nan
4.4445012347297466,-0.048941767198111392,0.27146696246520502,nan,nan,nan,nan,nan,nan,nan,nan
4.5053848132876881,-0.053976873685973092,0.27846893162004899,nan,nan,nan,nan,nan,nan,nan,nan
4.5662683918456297,-0.059193544953215792,0.28533669765268438,nan,nan,nan,nan,nan,nan,nan,nan
4.6271519704035713,-0.064588205753931302,0.29206555373932491,nan,nan,nan,nan,nan,nan,nan,nan
4.6880355489615129,-0.070157158857076116,0.29865088825812253,nan,nan,nan,nan,nan,nan,nan,nan
4.7489191275194544,-0.075896587580368893,0.30508818794974307,nan,nan,nan,nan,nan,nan,nan,nan
4.8098027060773969,-0.08180255840605348,0.31137304101052815,nan,nan,nan,nan,nan,nan,nan,nan
4.8706862846353385,-0.087871023676735771,0.31750114011612518,0,0,nan,nan,nan,nan,nan,nan
4.9315698631932801,-0.094097824369445693,0.32346828537351252,-0.0062268006927099287,0.0059671452573873815,nan,nan,nan,nan,nan,nan
4.9924534417512216,-0.10047869294602438,0.32927038719939661,-0.012607669269288609,0.011769247083271425,nan,nan,nan,nan,nan,nan
5.0533370203091632,-0.10700925627788066,0.33490346912300711,-0.019138232601144903,0.01740232900688192,nan,nan,nan,nan,nan,nan
5.1142205988671048,-0.11368503864311609,0.34036367051137262,-0.02581401496638033,0.022862530395247396,nan,nan,nan,nan,nan,nan
5.1751041774250472,-0.12050146479396018,0.34564724921520446,-0.032630441117224407,0.028146109099079261,nan,nan,nan,nan,nan,nan
5.2359877559829888,-0.12745386309241713,0.35075058413357968,-0.039582839415681373,0.03324944401745452,nan,nan,nan,nan,nan,nan
5.2968713345409304,-0.13453746871197325,0.35567017769566256,-0.04666644503523748,0.038169037579537414,nan,nan,nan,nan,nan,nan
5.357754913098872,-0.14174742690317102,0.36040265825776496,-0.053876403226435256,0.042901518141639741,nan,nan,nan,nan,nan,nan
5.4186384916568135,-0.14907879632081142,0.36494478241410194,-0.061207772644075641,0.047443642297976797,nan,nan,nan,nan,nan,nan
5.4795220702147551,-0.15652655241050595,0.36929343721966129,-0.068655528733770191,0.051792297103536125,nan,nan,nan,nan,nan,nan
